ABS;MUTLAK
STANDARDIZE;STANDARTLAŞTIRMA
STDEV;STDSAPMA
STDEV.P;STDSAPMA.P
STDEV.S;STDSAPMA.S
STDEVA;STDSAPMAA
STDEVP;STDSAPMAS
STDEVPA;STDSAPMASA
STEYX;STHYX
SUBSTITUTE;YERİNEKOY
SUBTOTAL;ALTTOPLAM
SUM;TOPLA
SUMIF;ETOPLA
SUMIFS;ÇOKETOPLA
SUMPRODUCT;TOPLA.ÇARPIM
SUMSQ;TOPKARE
SUMX2MY2;TOPX2EY2
SUMX2PY2;TOPX2AY2
SUMXMY2;TOPXEY2
SYD;YAT
T;M
T.DIST;T.DAĞ
T.DIST.2T;T.DAĞ.2K
T.DIST.RT;T.DAĞ.SAĞK
T.INV;T.TERS
T.INV.2T;T.TERS.2K
T.TEST;T.TEST
TAN;TAN
TANH;TANH
TBILLEQ;HTAHEŞ
TBILLPRICE;HTAHDEĞER
TBILLYIELD;HTAHÖDEME
TDIST;TDAĞ
TEXT;METNEÇEVİR
TIME;ZAMAN
TIMEVALUE;ZAMANSAYISI
TINV;TTERS
TODAY;BUGÜN
TRANSPOSE;DEVRİK_DÖNÜŞÜM
TREND;EĞİLİM
TRIM;KIRP
TRIMMEAN;KIRPORTALAMA
TRUE;DOĞRU
TRUNC;NSAT
TTEST;TTEST
TYPE;TÜR
UNICHAR;UNICODEKARAKTERİ
UNICODE;UNICODE
UPPER;BÜYÜKHARF
VALUE;SAYIYAÇEVİR
VAR;VAR
VAR.P;VAR.P
VAR.S;VAR.S
VARA;VARA
VARP;VARS
VARPA;VARSA
VDB;DAB
VLOOKUP;DÜŞEYARA
WEBSERVICE;WEBHİZMETİ
WEEKDAY;HAFTANINGÜNÜ
WEEKNUM;HAFTASAY
WEIBULL;WEIBULL
WEIBULL.DIST;WEIBULL.DAĞ
WORKDAY;İŞGÜNÜ
WORKDAY.INTL;İŞGÜNÜ.ULUSL
XIRR;AİÇVERİMORANI
XLOOKUP;ÇAPRAZARA
XNPV;ANBD
XOR;ÖZELVEYA
YEAR;YIL
YEARFRAC;YILORAN
YIELD;ÖDEME
YIELDDISC;ÖDEMEİND
YIELDMAT;ÖDEMEVADE
Z.TEST;Z.TEST
ZTEST;ZTEST
